"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5038","User can login and logout successfully","Firefox","Sun Sep 21 07:28:14 IST 2025","passed","Sun Sep 21 07:28:19 IST 2025","Regression Suite - Login and Logout","regression/loginLogout.regression.spec.js","",""
"","4926","User can logout after login","Chromium","Sun Sep 21 07:28:02 IST 2025","passed","Sun Sep 21 07:28:07 IST 2025","Login Feature","login.spec.js","",""
"","5655","User can logout after login","Firefox","Sun Sep 21 07:28:13 IST 2025","passed","Sun Sep 21 07:28:18 IST 2025","Login Feature","login.spec.js","",""
"","5390","User can logout after login","WebKit","Sun Sep 21 07:28:20 IST 2025","passed","Sun Sep 21 07:28:26 IST 2025","Login Feature","login.spec.js","",""
"","4678","User can login with valid credentials","Chromium","Sun Sep 21 07:28:02 IST 2025","passed","Sun Sep 21 07:28:07 IST 2025","Login Feature","login.spec.js","",""
"","3094","User cannot login with invalid credentials","WebKit","Sun Sep 21 07:28:17 IST 2025","passed","Sun Sep 21 07:28:20 IST 2025","Login Feature","login.spec.js","",""
"","3147","User cannot login with empty fields","WebKit","Sun Sep 21 07:28:20 IST 2025","passed","Sun Sep 21 07:28:23 IST 2025","Login Feature","login.spec.js","",""
"","2773","User cannot login with empty fields","Chromium","Sun Sep 21 07:28:02 IST 2025","passed","Sun Sep 21 07:28:05 IST 2025","Login Feature","login.spec.js","",""
"","4820","User can login and logout successfully","Chromium","Sun Sep 21 07:28:06 IST 2025","passed","Sun Sep 21 07:28:11 IST 2025","Regression Suite - Login and Logout","regression/loginLogout.regression.spec.js","",""
"","4771","User cannot login with empty fields","Firefox","Sun Sep 21 07:28:09 IST 2025","passed","Sun Sep 21 07:28:14 IST 2025","Login Feature","login.spec.js","",""
"","6444","User can login with valid credentials","WebKit","Sun Sep 21 07:28:15 IST 2025","passed","Sun Sep 21 07:28:22 IST 2025","Login Feature","login.spec.js","",""
"","3562","User cannot login with invalid credentials","Firefox","Sun Sep 21 07:28:09 IST 2025","passed","Sun Sep 21 07:28:13 IST 2025","Login Feature","login.spec.js","",""
"","4664","User can login and logout successfully","WebKit","Sun Sep 21 07:28:20 IST 2025","passed","Sun Sep 21 07:28:25 IST 2025","Regression Suite - Login and Logout","regression/loginLogout.regression.spec.js","",""
"","5535","User can login with valid credentials","Firefox","Sun Sep 21 07:28:07 IST 2025","passed","Sun Sep 21 07:28:13 IST 2025","Login Feature","login.spec.js","",""
"","2678","User cannot login with invalid credentials","Chromium","Sun Sep 21 07:28:02 IST 2025","passed","Sun Sep 21 07:28:05 IST 2025","Login Feature","login.spec.js","",""
